Category,Frequency,Item
NOUN,HIFREQ, façon
NOUN,HIFREQ, cause
NOUN,HIFREQ, bateau
NOUN,HIFREQ, équipe
NOUN,HIFREQ, école
NOUN,HIFREQ, bureau
NOUN,HIFREQ, trucs
NOUN,HIFREQ, lumière
NOUN,HIFREQ, besoin
NOUN,HIFREQ, début
NOUN,HIFREQ, force
NOUN,HIFREQ, reste
NOUN,HIFREQ, travail
NOUN,HIFREQ, homme
NOUN,HIFREQ, faute
NOUN,HIFREQ, années
NOUN,HIFREQ, bonjour
NOUN,HIFREQ, table
NOUN,HIFREQ, heures
NOUN,HIFREQ, hommes
NOUN,LOFREQ, fleuves
NOUN,LOFREQ, véranda
NOUN,LOFREQ, vacarme
NOUN,LOFREQ, bluff
NOUN,LOFREQ, lever
NOUN,LOFREQ, tarés
NOUN,LOFREQ, cobra
NOUN,LOFREQ, samouraï
NOUN,LOFREQ, mystique
NOUN,LOFREQ, yacks
NOUN,LOFREQ, contes
NOUN,LOFREQ, lézard
NOUN,LOFREQ, boche
NOUN,LOFREQ, raton
NOUN,LOFREQ, piercing
NOUN,LOFREQ, frayeur
NOUN,LOFREQ, dérision
NOUN,LOFREQ, citation
NOUN,LOFREQ, entrées
NOUN,LOFREQ, réforme
VERB,HIFREQ, avait
VERB,HIFREQ, changer
VERB,HIFREQ, aller
VERB,HIFREQ, parlé
VERB,HIFREQ, avons
VERB,HIFREQ, croyais
VERB,HIFREQ, veulent
VERB,HIFREQ, trouver
VERB,HIFREQ, regardez
VERB,HIFREQ, était
VERB,HIFREQ, savais
VERB,HIFREQ, payer
VERB,HIFREQ, faisait
VERB,HIFREQ, rentrer
VERB,HIFREQ, ferais
VERB,HIFREQ, parlez
VERB,HIFREQ, demander
VERB,HIFREQ, donnez
VERB,HIFREQ, parles
VERB,HIFREQ, jouer
VERB,LOFREQ, avait
VERB,LOFREQ, changer
VERB,LOFREQ, aller
VERB,LOFREQ, parlé
VERB,LOFREQ, avons
VERB,LOFREQ, croyais
VERB,LOFREQ, veulent
VERB,LOFREQ, trouver
VERB,LOFREQ, regardez
VERB,LOFREQ, était
VERB,LOFREQ, savais
VERB,LOFREQ, payer
VERB,LOFREQ, faisait
VERB,LOFREQ, rentrer
VERB,LOFREQ, ferais
VERB,LOFREQ, parlez
VERB,LOFREQ, demander
VERB,LOFREQ, donnez
VERB,LOFREQ, parles
VERB,LOFREQ, jouer
PSEUDO,NA, povaci
PSEUDO,NA, paprénes
PSEUDO,NA, ronévait
PSEUDO,NA, tuinte
PSEUDO,NA, pâtétait
PSEUDO,NA, chétinct
PSEUDO,NA, vomes
PSEUDO,NA, sanci
PSEUDO,NA, mêfors
PSEUDO,NA, géotin
PSEUDO,NA, apragea
PSEUDO,NA, aprotise
PSEUDO,NA, chlorse
PSEUDO,NA, étalse
PSEUDO,NA, paprens
PSEUDO,NA, mêchele
PSEUDO,NA, sprouble
PSEUDO,NA, refaine
PSEUDO,NA, ébirial
PSEUDO,NA, sipanaux
PSEUDO,NA, rhutiste
PSEUDO,NA, momoses
PSEUDO,NA, perrirue
PSEUDO,NA, chlourbe
PSEUDO,NA, placi
PSEUDO,NA, spuis
PSEUDO,NA, sprout
PSEUDO,NA, virute
PSEUDO,NA, fetourse
PSEUDO,NA, chodoite
PSEUDO,NA, extivail
PSEUDO,NA, pruigne
PSEUDO,NA, sentelse
PSEUDO,NA, mégarson
PSEUDO,NA, aprents
PSEUDO,NA, mennure
PSEUDO,NA, aprata
PSEUDO,NA, stict
PSEUDO,NA, diperve
PSEUDO,NA, fêmore
PSEUDO,NA, valfamir
PSEUDO,NA, maburont
PSEUDO,NA, fetreme
PSEUDO,NA, birélait
PSEUDO,NA, momours
PSEUDO,NA, aticle
PSEUDO,NA, ciber
PSEUDO,NA, pusque
PSEUDO,NA, perimeil
PSEUDO,NA, barmeil
PSEUDO,NA, vefants
PSEUDO,NA, boufide
PSEUDO,NA, blube
PSEUDO,NA, paprime
PSEUDO,NA, protemci
PSEUDO,NA, fadament
PSEUDO,NA, sprenche
PSEUDO,NA, marect
PSEUDO,NA, havénant
PSEUDO,NA, sauvoude
PSEUDO,NA, phralve
PSEUDO,NA, verre
PSEUDO,NA, moutes
PSEUDO,NA, brontai
PSEUDO,NA, incoutie
PSEUDO,NA, prépatie
PSEUDO,NA, troseres
PSEUDO,NA, chanche
PSEUDO,NA, crouche
PSEUDO,NA, plarche
PSEUDO,NA, linal
PSEUDO,NA, atrime
PSEUDO,NA, pronstre
PSEUDO,NA, nante
PSEUDO,NA, détate
PSEUDO,NA, nalait
PSEUDO,NA, brimatre
PSEUDO,NA, arres
PSEUDO,NA, tentite
PSEUDO,NA, richant
